dataset,n,d,n_classes,method,k_selected,selected_features,trustworthiness,knn_overlap,cluster_ari,wass_persist,importance_time_sec
iris,150,4,3,pai,1,1,0.6790681536555143,0.266,0.28501453875307525,35.72505106590852,1.160744834
iris,150,4,3,pai,2,1|2,0.9614275092936803,0.5540000000000002,0.6620871263015646,27.642022015084112,1.160744834
iris,150,4,3,pai,3,0|1|2,0.9866666666666667,0.7813333333333334,0.8841398951902967,11.494474110022896,1.160744834
iris,150,4,3,pai,4,0|1|2|3,0.999995043370508,1.0,1.0,0.0,1.160744834
iris,150,4,3,nrs,1,3,0.8527980173482033,0.25066666666666665,0.6642663553465818,37.43193251233616,0.0030630419999999603
iris,150,4,3,nrs,2,2|3,0.8902403965303594,0.308,0.6882930101979979,35.66699298966986,0.0030630419999999603
iris,150,4,3,nrs,3,0|2|3,0.9357967781908303,0.5,0.8326894712256736,24.581141839246996,0.0030630419999999603
iris,150,4,3,nrs,4,0|1|2|3,0.999995043370508,1.0,1.0,0.0,0.0030630419999999603
iris,150,4,3,relieff,1,3,0.8527980173482033,0.25066666666666665,0.6642663553465818,37.43193251233616,0.024826749999999898
iris,150,4,3,relieff,2,2|3,0.8902403965303594,0.308,0.6882930101979979,35.66699298966986,0.024826749999999898
iris,150,4,3,relieff,3,0|2|3,0.9357967781908303,0.5,0.8326894712256736,24.581141839246996,0.024826749999999898
iris,150,4,3,relieff,4,0|1|2|3,0.999995043370508,1.0,1.0,0.0,0.024826749999999898
iris,150,4,3,mutual_info,1,2,0.8697397769516728,0.2633333333333333,0.6523717102000115,38.64074532730147,0.00323320799999971
iris,150,4,3,mutual_info,2,2|3,0.8902403965303594,0.308,0.6882930101979979,35.66699298966986,0.00323320799999971
iris,150,4,3,mutual_info,3,0|2|3,0.9357967781908303,0.5,0.8326894712256736,24.581141839246996,0.00323320799999971
iris,150,4,3,mutual_info,4,0|1|2|3,0.999995043370508,1.0,1.0,0.0,0.00323320799999971
iris,150,4,3,variance,1,2,0.8697397769516728,0.2633333333333333,0.6523717102000115,38.64074532730147,1.5583999999790876e-05
iris,150,4,3,variance,2,2|3,0.8902403965303594,0.308,0.6882930101979979,35.66699298966986,1.5583999999790876e-05
